run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
VoIP-DL-0-20250917-23:01:17-147789,runattr,,,configname,VoIP-DL,,,
VoIP-DL-0-20250917-23:01:17-147789,runattr,,,datetime,20250917-23:01:17,,,
VoIP-DL-0-20250917-23:01:17-147789,runattr,,,experiment,VoIP-DL,,,
VoIP-DL-0-20250917-23:01:17-147789,runattr,,,inifile,omnetpp.ini,,,
VoIP-DL-0-20250917-23:01:17-147789,runattr,,,iterationvars,,,,
VoIP-DL-0-20250917-23:01:17-147789,runattr,,,iterationvarsf,,,,
VoIP-DL-0-20250917-23:01:17-147789,runattr,,,measurement,,,,
VoIP-DL-0-20250917-23:01:17-147789,runattr,,,network,simu5g.simulations.NR.cars.Highway,,,
VoIP-DL-0-20250917-23:01:17-147789,runattr,,,processid,147789,,,
VoIP-DL-0-20250917-23:01:17-147789,runattr,,,repetition,0,,,
VoIP-DL-0-20250917-23:01:17-147789,runattr,,,replication,#0,,,
VoIP-DL-0-20250917-23:01:17-147789,runattr,,,resultdir,results,,,
VoIP-DL-0-20250917-23:01:17-147789,runattr,,,runnumber,0,,,
VoIP-DL-0-20250917-23:01:17-147789,runattr,,,seedset,0,,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,*.server.numApps,10,,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,*.server.app[*].typename,"""VoIPSender""",,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,*.server.app[*].localPort,3000 + ancestorIndex(0),,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,*.server.app[*].destAddress,"""car["" + string(ancestorIndex(0)) + ""]""",,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,*.server.app[*].startTime,0.05s,,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,*.car[*].numApps,1,,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,*.car[*].app[0].typename,"""VoIPReceiver""",,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,**.routingRecorder.enabled,false,,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,*.playgroundSizeX,20000m,,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,*.playgroundSizeY,20000m,,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,*.playgroundSizeZ,50m,,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,*.veinsManager.host,"""localhost""",,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,*.veinsManager.moduleType,"""simu5g.nodes.cars.NRCar""",,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,*.veinsManager.moduleName,"""car""",,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,*.veinsManager.launchConfig,"xmldoc(""heterogeneous.launchd.xml"")",,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,*.veinsManager.updateInterval,0.1s,,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,*.car[*].mobilityType,"""VeinsInetMobility""",,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,**.numBands,25,,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,**.ueTxPower,26,,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,**.eNodeBTxPower,46,,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,*.car[*].cellularNic.nrPhy.dynamicCellAssociation,true,,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,*.car[*].masterId,0,,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,*.car[*].macCellId,0,,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,*.car[*].nrMasterId,1,,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,*.car[*].nrMacCellId,1,,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,**.gNodeB1.macCellId,1,,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,**.gNodeB1.macNodeId,1,,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,**.gNodeB2.macCellId,2,,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,**.gNodeB2.macNodeId,2,,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,*.car[*].cellularNic.nrPhy.enableHandover,true,,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,*.gNodeB*.cellularNic.phy.enableHandover,true,,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,*.gNodeB*.cellularNic.phy.handoverLatency,50ms,,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,*.gNodeB*.cellInfo.broadcastMessageInterval,1s,,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,*.gNodeB*.numX2Apps,1,,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,*.gNodeB*.x2App[*].server.localPort,5000 + ancestorIndex(1),,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,*.gNodeB1.x2App[0].client.connectAddress,"""gNodeB2%x2ppp0""",,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,*.gNodeB2.x2App[0].client.connectAddress,"""gNodeB1%x2ppp0""",,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,**.sctp.nagleEnabled,false,,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,**.sctp.enableHeartbeats,false,,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,*.server.numApps,10,,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,*.server.app[*].typename,"""VoIPSender""",,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,*.server.app[*].localPort,3000 + ancestorIndex(0),,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,*.server.app[*].destAddress,"""car["" + string(ancestorIndex(0)) + ""]""",,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,*.server.app[*].startTime,0.05s,,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,*.car[*].numApps,1,,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,*.car[*].app[0].typename,"""VoIPReceiver""",,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,**.routingRecorder.enabled,false,,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,*.playgroundSizeX,20000m,,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,*.playgroundSizeY,20000m,,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,*.playgroundSizeZ,50m,,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,*.veinsManager.host,"""localhost""",,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,*.veinsManager.moduleType,"""simu5g.nodes.cars.NRCar""",,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,*.veinsManager.moduleName,"""car""",,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,*.veinsManager.launchConfig,"xmldoc(""heterogeneous.launchd.xml"")",,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,*.veinsManager.updateInterval,0.1s,,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,*.car[*].mobilityType,"""VeinsInetMobility""",,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,**.numBands,25,,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,**.ueTxPower,26,,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,**.eNodeBTxPower,46,,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,*.car[*].cellularNic.nrPhy.dynamicCellAssociation,true,,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,*.car[*].masterId,0,,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,*.car[*].macCellId,0,,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,*.car[*].nrMasterId,1,,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,*.car[*].nrMacCellId,1,,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,**.gNodeB1.macCellId,1,,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,**.gNodeB1.macNodeId,1,,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,**.gNodeB2.macCellId,2,,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,**.gNodeB2.macNodeId,2,,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,*.car[*].cellularNic.nrPhy.enableHandover,true,,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,*.gNodeB*.cellularNic.phy.enableHandover,true,,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,*.gNodeB*.cellularNic.phy.handoverLatency,50ms,,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,*.gNodeB*.cellInfo.broadcastMessageInterval,1s,,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,*.gNodeB*.numX2Apps,1,,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,*.gNodeB*.x2App[*].server.localPort,5000 + ancestorIndex(1),,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,*.gNodeB1.x2App[0].client.connectAddress,"""gNodeB2%x2ppp0""",,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,*.gNodeB2.x2App[0].client.connectAddress,"""gNodeB1%x2ppp0""",,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,**.sctp.nagleEnabled,false,,,
VoIP-DL-0-20250917-23:01:17-147789,param,,,**.sctp.enableHeartbeats,false,,,
