run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
D2DMulticast-0-20250918-17:01:14-213590,runattr,,,configname,D2DMulticast,,,
D2DMulticast-0-20250918-17:01:14-213590,runattr,,,datetime,20250918-17:01:14,,,
D2DMulticast-0-20250918-17:01:14-213590,runattr,,,experiment,D2DMulticast,,,
D2DMulticast-0-20250918-17:01:14-213590,runattr,,,inifile,omnetpp.ini,,,
D2DMulticast-0-20250918-17:01:14-213590,runattr,,,iterationvars,$cqi=7,,,
D2DMulticast-0-20250918-17:01:14-213590,runattr,,,iterationvarsf,cqi=7-,,,
D2DMulticast-0-20250918-17:01:14-213590,runattr,,,measurement,$cqi=7,,,
D2DMulticast-0-20250918-17:01:14-213590,runattr,,,network,simu5g.simulations.NR.cars.Highway,,,
D2DMulticast-0-20250918-17:01:14-213590,runattr,,,processid,213590,,,
D2DMulticast-0-20250918-17:01:14-213590,runattr,,,repetition,0,,,
D2DMulticast-0-20250918-17:01:14-213590,runattr,,,replication,#0,,,
D2DMulticast-0-20250918-17:01:14-213590,runattr,,,resultdir,results,,,
D2DMulticast-0-20250918-17:01:14-213590,runattr,,,runnumber,0,,,
D2DMulticast-0-20250918-17:01:14-213590,runattr,,,seedset,0,,,
D2DMulticast-0-20250918-17:01:14-213590,itervar,,,cqi,7,,,
D2DMulticast-0-20250918-17:01:14-213590,param,,,**.amcMode,"""D2D""",,,
D2DMulticast-0-20250918-17:01:14-213590,param,,,**.enableD2DCqiReporting,false,,,
D2DMulticast-0-20250918-17:01:14-213590,param,,,**.usePreconfiguredTxParams,true,,,
D2DMulticast-0-20250918-17:01:14-213590,param,,,**.d2dCqi,7,,,
D2DMulticast-0-20250918-17:01:14-213590,param,,,*.car[*].numApps,1,,,
D2DMulticast-0-20250918-17:01:14-213590,param,,,*.car[0].app[*].typename,"""AlertSender""",,,
D2DMulticast-0-20250918-17:01:14-213590,param,,,*.car[0].app[*].localPort,3088+ancestorIndex(0),,,
D2DMulticast-0-20250918-17:01:14-213590,param,,,*.car[0].app[*].startTime,"uniform(0s,0.02s)",,,
D2DMulticast-0-20250918-17:01:14-213590,param,,,*.car[0].app[*].destAddress,"""224.0.0.10""",,,
D2DMulticast-0-20250918-17:01:14-213590,param,,,*.car[0].app[*].destPort,1000,,,
D2DMulticast-0-20250918-17:01:14-213590,param,,,*.car[1..7].app[*].typename,"""AlertReceiver""",,,
D2DMulticast-0-20250918-17:01:14-213590,param,,,*.car[1..7].app[*].localPort,1000,,,
D2DMulticast-0-20250918-17:01:14-213590,param,,,*.car[*].configurator.mcastGroups,"""224.0.0.10""",,,
D2DMulticast-0-20250918-17:01:14-213590,param,,,**.routingRecorder.enabled,false,,,
D2DMulticast-0-20250918-17:01:14-213590,param,,,*.playgroundSizeX,20000m,,,
D2DMulticast-0-20250918-17:01:14-213590,param,,,*.playgroundSizeY,20000m,,,
D2DMulticast-0-20250918-17:01:14-213590,param,,,*.playgroundSizeZ,50m,,,
D2DMulticast-0-20250918-17:01:14-213590,param,,,*.veinsManager.host,"""localhost""",,,
D2DMulticast-0-20250918-17:01:14-213590,param,,,*.veinsManager.moduleType,"""simu5g.nodes.cars.NRCar""",,,
D2DMulticast-0-20250918-17:01:14-213590,param,,,*.veinsManager.moduleName,"""car""",,,
D2DMulticast-0-20250918-17:01:14-213590,param,,,*.veinsManager.launchConfig,"xmldoc(""heterogeneous.launchd.xml"")",,,
D2DMulticast-0-20250918-17:01:14-213590,param,,,*.veinsManager.updateInterval,0.1s,,,
D2DMulticast-0-20250918-17:01:14-213590,param,,,*.car[*].mobilityType,"""VeinsInetMobility""",,,
D2DMulticast-0-20250918-17:01:14-213590,param,,,**.numBands,25,,,
D2DMulticast-0-20250918-17:01:14-213590,param,,,**.ueTxPower,26,,,
D2DMulticast-0-20250918-17:01:14-213590,param,,,**.eNodeBTxPower,46,,,
D2DMulticast-0-20250918-17:01:14-213590,param,,,*.car[*].cellularNic.nrPhy.dynamicCellAssociation,true,,,
D2DMulticast-0-20250918-17:01:14-213590,param,,,*.car[*].masterId,0,,,
D2DMulticast-0-20250918-17:01:14-213590,param,,,*.car[*].macCellId,0,,,
D2DMulticast-0-20250918-17:01:14-213590,param,,,*.car[*].nrMasterId,1,,,
D2DMulticast-0-20250918-17:01:14-213590,param,,,*.car[*].nrMacCellId,1,,,
D2DMulticast-0-20250918-17:01:14-213590,param,,,**.gNodeB1.macCellId,1,,,
D2DMulticast-0-20250918-17:01:14-213590,param,,,**.gNodeB1.macNodeId,1,,,
D2DMulticast-0-20250918-17:01:14-213590,param,,,**.gNodeB2.macCellId,2,,,
D2DMulticast-0-20250918-17:01:14-213590,param,,,**.gNodeB2.macNodeId,2,,,
D2DMulticast-0-20250918-17:01:14-213590,param,,,*.car[*].cellularNic.nrPhy.enableHandover,true,,,
D2DMulticast-0-20250918-17:01:14-213590,param,,,*.gNodeB*.cellularNic.phy.enableHandover,true,,,
D2DMulticast-0-20250918-17:01:14-213590,param,,,*.gNodeB*.cellularNic.phy.handoverLatency,50ms,,,
D2DMulticast-0-20250918-17:01:14-213590,param,,,*.gNodeB*.cellInfo.broadcastMessageInterval,1s,,,
D2DMulticast-0-20250918-17:01:14-213590,param,,,*.gNodeB*.numX2Apps,1,,,
D2DMulticast-0-20250918-17:01:14-213590,param,,,*.gNodeB*.x2App[*].server.localPort,5000 + ancestorIndex(1),,,
D2DMulticast-0-20250918-17:01:14-213590,param,,,*.gNodeB1.x2App[0].client.connectAddress,"""gNodeB2%x2ppp0""",,,
D2DMulticast-0-20250918-17:01:14-213590,param,,,*.gNodeB2.x2App[0].client.connectAddress,"""gNodeB1%x2ppp0""",,,
D2DMulticast-0-20250918-17:01:14-213590,param,,,**.sctp.nagleEnabled,false,,,
D2DMulticast-0-20250918-17:01:14-213590,param,,,**.sctp.enableHeartbeats,false,,,
D2DMulticast-0-20250918-17:01:14-213590,vector,Highway.router.ppp[1].ppp,transmissionState:vector,,,,"0","0"
D2DMulticast-0-20250918-17:01:14-213590,attr,Highway.router.ppp[1].ppp,transmissionState:vector,interpolationmode,sample-hold,,,
D2DMulticast-0-20250918-17:01:14-213590,attr,Highway.router.ppp[1].ppp,transmissionState:vector,source,transmissionStateChanged,,,
D2DMulticast-0-20250918-17:01:14-213590,attr,Highway.router.ppp[1].ppp,transmissionState:vector,title,"tx state, vector",,,
