run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
VoIP-D2D-0-20250917-23:13:14-147980,runattr,,,configname,VoIP-D2D,,,
VoIP-D2D-0-20250917-23:13:14-147980,runattr,,,datetime,20250917-23:13:14,,,
VoIP-D2D-0-20250917-23:13:14-147980,runattr,,,experiment,VoIP-D2D,,,
VoIP-D2D-0-20250917-23:13:14-147980,runattr,,,inifile,omnetpp.ini,,,
VoIP-D2D-0-20250917-23:13:14-147980,runattr,,,iterationvars,,,,
VoIP-D2D-0-20250917-23:13:14-147980,runattr,,,iterationvarsf,,,,
VoIP-D2D-0-20250917-23:13:14-147980,runattr,,,measurement,,,,
VoIP-D2D-0-20250917-23:13:14-147980,runattr,,,network,simu5g.simulations.NR.cars.Highway,,,
VoIP-D2D-0-20250917-23:13:14-147980,runattr,,,processid,147980,,,
VoIP-D2D-0-20250917-23:13:14-147980,runattr,,,repetition,0,,,
VoIP-D2D-0-20250917-23:13:14-147980,runattr,,,replication,#0,,,
VoIP-D2D-0-20250917-23:13:14-147980,runattr,,,resultdir,results,,,
VoIP-D2D-0-20250917-23:13:14-147980,runattr,,,runnumber,0,,,
VoIP-D2D-0-20250917-23:13:14-147980,runattr,,,seedset,0,,,
VoIP-D2D-0-20250917-23:13:14-147980,param,,,**.amcMode,"""D2D""",,,
VoIP-D2D-0-20250917-23:13:14-147980,param,,,*.car[*].cellularNic.d2dInitialMode,true,,,
VoIP-D2D-0-20250917-23:13:14-147980,param,,,*.gNodeB*.cellularNic.nrPhy.enableD2DCqiReporting,true,,,
VoIP-D2D-0-20250917-23:13:14-147980,param,,,**.usePreconfiguredTxParams,false,,,
VoIP-D2D-0-20250917-23:13:14-147980,param,,,*.car[*].numApps,1,,,
VoIP-D2D-0-20250917-23:13:14-147980,param,,,*.car[0].app[0].typename,"""VoIPSender""",,,
VoIP-D2D-0-20250917-23:13:14-147980,param,,,*.car[0].app[0].destAddress,"""car[2]""",,,
VoIP-D2D-0-20250917-23:13:14-147980,param,,,*.car[2].app[0].typename,"""VoIPReceiver""",,,
VoIP-D2D-0-20250917-23:13:14-147980,param,,,*.car[4].app[0].typename,"""VoIPSender""",,,
VoIP-D2D-0-20250917-23:13:14-147980,param,,,*.car[4].app[0].destAddress,"""car[6]""",,,
VoIP-D2D-0-20250917-23:13:14-147980,param,,,*.car[6].app[0].typename,"""VoIPReceiver""",,,
VoIP-D2D-0-20250917-23:13:14-147980,param,,,*.car[1].app[0].typename,"""VoIPSender""",,,
VoIP-D2D-0-20250917-23:13:14-147980,param,,,*.car[1].app[0].destAddress,"""car[3]""",,,
VoIP-D2D-0-20250917-23:13:14-147980,param,,,*.car[3].app[0].typename,"""VoIPReceiver""",,,
VoIP-D2D-0-20250917-23:13:14-147980,param,,,*.car[5].app[0].typename,"""VoIPSender""",,,
VoIP-D2D-0-20250917-23:13:14-147980,param,,,*.car[5].app[0].destAddress,"""car[7]""",,,
VoIP-D2D-0-20250917-23:13:14-147980,param,,,*.car[7].app[0].typename,"""VoIPReceiver""",,,
VoIP-D2D-0-20250917-23:13:14-147980,param,,,**.routingRecorder.enabled,false,,,
VoIP-D2D-0-20250917-23:13:14-147980,param,,,*.playgroundSizeX,20000m,,,
VoIP-D2D-0-20250917-23:13:14-147980,param,,,*.playgroundSizeY,20000m,,,
VoIP-D2D-0-20250917-23:13:14-147980,param,,,*.playgroundSizeZ,50m,,,
VoIP-D2D-0-20250917-23:13:14-147980,param,,,*.veinsManager.host,"""localhost""",,,
VoIP-D2D-0-20250917-23:13:14-147980,param,,,*.veinsManager.moduleType,"""simu5g.nodes.cars.NRCar""",,,
VoIP-D2D-0-20250917-23:13:14-147980,param,,,*.veinsManager.moduleName,"""car""",,,
VoIP-D2D-0-20250917-23:13:14-147980,param,,,*.veinsManager.launchConfig,"xmldoc(""heterogeneous.launchd.xml"")",,,
VoIP-D2D-0-20250917-23:13:14-147980,param,,,*.veinsManager.updateInterval,0.1s,,,
VoIP-D2D-0-20250917-23:13:14-147980,param,,,*.car[*].mobilityType,"""VeinsInetMobility""",,,
VoIP-D2D-0-20250917-23:13:14-147980,param,,,**.numBands,25,,,
VoIP-D2D-0-20250917-23:13:14-147980,param,,,**.ueTxPower,26,,,
VoIP-D2D-0-20250917-23:13:14-147980,param,,,**.eNodeBTxPower,46,,,
VoIP-D2D-0-20250917-23:13:14-147980,param,,,*.car[*].cellularNic.nrPhy.dynamicCellAssociation,true,,,
VoIP-D2D-0-20250917-23:13:14-147980,param,,,*.car[*].masterId,0,,,
VoIP-D2D-0-20250917-23:13:14-147980,param,,,*.car[*].macCellId,0,,,
VoIP-D2D-0-20250917-23:13:14-147980,param,,,*.car[*].nrMasterId,1,,,
VoIP-D2D-0-20250917-23:13:14-147980,param,,,*.car[*].nrMacCellId,1,,,
VoIP-D2D-0-20250917-23:13:14-147980,param,,,**.gNodeB1.macCellId,1,,,
VoIP-D2D-0-20250917-23:13:14-147980,param,,,**.gNodeB1.macNodeId,1,,,
VoIP-D2D-0-20250917-23:13:14-147980,param,,,**.gNodeB2.macCellId,2,,,
VoIP-D2D-0-20250917-23:13:14-147980,param,,,**.gNodeB2.macNodeId,2,,,
VoIP-D2D-0-20250917-23:13:14-147980,param,,,*.car[*].cellularNic.nrPhy.enableHandover,true,,,
VoIP-D2D-0-20250917-23:13:14-147980,param,,,*.gNodeB*.cellularNic.phy.enableHandover,true,,,
VoIP-D2D-0-20250917-23:13:14-147980,param,,,*.gNodeB*.cellularNic.phy.handoverLatency,50ms,,,
